station_abbr;parameter_shortname;meas_cat_nr;data_since;data_till;owner
PSI;ta1towyn;1;01.01.2012 00:00;01.01.2022 00:00;MeteoSchweiz
PSI;ta1towyx;1;01.01.2012 00:00;01.01.2022 00:00;MeteoSchweiz
PSI;uretows0;1;27.07.2011 14:40;;MeteoSchweiz
STC;dk1towh0;1;15.04.1992 15:00;;MeteoSchweiz
STC;dv1towz0;1;01.02.2004 00:00;;MeteoSchweiz
STC;fk1towd0;1;15.04.1992 00:00;;MeteoSchweiz
STC;fk1towd1;1;22.03.1992 00:00;;MeteoSchweiz
STC;fk1towh0;1;12.12.1991 13:00;;MeteoSchweiz
STC;fk1towh1;1;12.12.1991 13:00;;MeteoSchweiz
STC;fk1towz0;1;01.02.2004 00:00;;MeteoSchweiz
STC;fkltowz1;1;01.02.2004 00:00;;MeteoSchweiz
STC;fu3towd0;1;01.01.2018 00:00;;MeteoSchweiz
STC;fu3towd1;1;01.01.2018 00:00;;MeteoSchweiz
STC;fu3towh0;1;26.02.2013 00:00;;MeteoSchweiz
STC;fu3towh1;1;26.02.2013 00:00;;MeteoSchweiz
STC;fu3towz0;1;21.05.2004 11:50;;MeteoSchweiz
STC;fu3towz1;1;21.05.2004 11:50;;MeteoSchweiz
STC;gre000d0;1;23.02.2011 00:00;;MeteoSchweiz
STC;gre000h0;1;21.02.2011 13:00;;MeteoSchweiz
STC;gre000m0;1;01.03.2011 00:00;;MeteoSchweiz
STC;gre000y0;1;01.01.2012 00:00;;MeteoSchweiz
STC;gre000z0;1;21.02.2011 13:00;;MeteoSchweiz
STC;sre000d0;1;23.02.2011 00:00;;MeteoSchweiz
STC;sre000h0;1;21.02.2011 13:00;;MeteoSchweiz
STC;sre000m0;1;01.03.2011 00:00;;MeteoSchweiz
STC;sre000y0;1;01.01.2013 00:00;;MeteoSchweiz
STC;sre000z0;1;21.02.2011 13:00;;MeteoSchweiz
STC;ta1towd0;1;13.11.1996 00:00;;MeteoSchweiz
STC;ta1towdn;1;22.02.2011 00:00;;MeteoSchweiz
STC;ta1towdx;1;22.02.2011 00:00;;MeteoSchweiz
STC;ta1towh0;1;16.01.1992 12:00;;MeteoSchweiz
STC;ta1towhn;1;01.01.2018 00:00;;MeteoSchweiz
STC;ta1towhx;1;01.01.2018 00:00;;MeteoSchweiz
STC;ta1towm0;1;01.03.2011 00:00;;MeteoSchweiz
STC;ta1towmn;1;01.03.2011 00:00;;MeteoSchweiz
STC;ta1towmx;1;01.03.2011 00:00;;MeteoSchweiz
STC;ta1tows0;1;01.02.2004 00:00;;MeteoSchweiz
STC;ta1towy0;1;01.01.2012 00:00;;MeteoSchweiz
STC;ta1towyn;1;01.01.2012 00:00;;MeteoSchweiz
STC;ta1towyx;1;01.01.2012 00:00;;MeteoSchweiz
STC;tdetowh0;1;01.01.2018 00:00;;MeteoSchweiz
STC;tdetows0;1;01.02.2004 00:00;;MeteoSchweiz
STC;uretowd0;1;01.01.2018 00:00;;MeteoSchweiz
STC;uretowh0;1;01.01.2018 00:00;;MeteoSchweiz
STC;uretows0;1;01.02.2004 00:00;;MeteoSchweiz
UEB;dk1towh0;1;22.03.1992 19:00;;MeteoSchweiz
UEB;dv1towz0;1;01.02.2004 00:00;;MeteoSchweiz
UEB;fk1towd0;1;22.03.1992 00:00;;MeteoSchweiz
UEB;fk1towd1;1;22.03.1992 00:00;;MeteoSchweiz
UEB;fk1towh0;1;14.11.1992 00:00;;MeteoSchweiz
UEB;fk1towh1;1;25.11.1991 20:00;;MeteoSchweiz
UEB;fk1towz0;1;01.02.2004 00:00;;MeteoSchweiz
UEB;fkltowz1;1;01.02.2004 00:00;;MeteoSchweiz
UEB;fu3towd0;1;01.01.2018 00:00;;MeteoSchweiz
UEB;fu3towd1;1;01.01.2018 00:00;;MeteoSchweiz
UEB;fu3towh0;1;26.02.2013 00:00;;MeteoSchweiz
UEB;fu3towh1;1;26.02.2013 00:00;;MeteoSchweiz
UEB;fu3towz0;1;21.05.2004 11:50;;MeteoSchweiz
UEB;fu3towz1;1;21.05.2004 11:50;;MeteoSchweiz
UEB;gre000d0;1;07.01.2012 00:00;;MeteoSchweiz
UEB;gre000h0;1;06.01.2012 09:00;;MeteoSchweiz
UEB;gre000m0;1;01.02.2012 00:00;;MeteoSchweiz
UEB;gre000y0;1;01.01.2013 00:00;;MeteoSchweiz
UEB;gre000z0;1;06.01.2012 08:30;;MeteoSchweiz
UEB;sre000d0;1;07.01.2012 00:00;;MeteoSchweiz
UEB;sre000h0;1;06.01.2012 09:00;;MeteoSchweiz
UEB;sre000m0;1;01.02.2012 00:00;;MeteoSchweiz
UEB;sre000y0;1;01.01.2013 00:00;;MeteoSchweiz
UEB;sre000z0;1;06.01.2012 08:30;;MeteoSchweiz
UEB;ta1towd0;1;22.03.1992 00:00;;MeteoSchweiz
UEB;ta1towdn;1;06.06.2011 00:00;;MeteoSchweiz
UEB;ta1towdx;1;06.06.2011 00:00;;MeteoSchweiz
UEB;ta1towh0;1;14.11.1991 21:00;;MeteoSchweiz
UEB;ta1towhn;1;01.01.2018 00:00;;MeteoSchweiz
UEB;ta1towhx;1;01.01.2018 00:00;;MeteoSchweiz
UEB;ta1towm0;1;01.06.2011 00:00;;MeteoSchweiz
UEB;ta1towmn;1;01.07.2011 00:00;;MeteoSchweiz
UEB;ta1towmx;1;01.07.2011 00:00;;MeteoSchweiz
UEB;ta1tows0;1;01.02.2004 00:00;;MeteoSchweiz
UEB;ta1towy0;1;01.01.2012 00:00;;MeteoSchweiz
UEB;ta1towyn;1;01.01.2012 00:00;;MeteoSchweiz
UEB;ta1towyx;1;01.01.2012 00:00;;MeteoSchweiz
UEB;tdetowh0;1;01.01.2018 00:00;;MeteoSchweiz
UEB;tdetows0;1;01.02.2004 00:00;;MeteoSchweiz
UEB;uretowd0;1;01.01.2018 00:00;;MeteoSchweiz
UEB;uretowh0;1;01.01.2018 00:00;;MeteoSchweiz
UEB;uretows0;1;01.02.2004 00:00;;MeteoSchweiz
